Attainment,Regions,Employ,Total in labor force,Unemploy,Year
Some college or associate's degree,Kitsap County,37629.0,55349.0,1243.0,2017
Some college or associate's degree,Label,,,,2017
Some college or associate's degree,"Lewis, Klickitat & Skamania Counties",15724.0,23192.0,812.0,2017
Some college or associate's degree,Pierce County,131454.0,179578.0,4774.0,2017
Some college or associate's degree,"Skagit, Island & San Juan Counties",29412.0,43126.0,1725.0,2017
Some college or associate's degree,Snohomish County,130552.0,169343.0,5586.0,2017
Some college or associate's degree,Spokane County,78498.0,107865.0,4400.0,2017
Some college or associate's degree,"Stevens, Okanogan, Pend Oreille & Ferry Counties",12791.0,19801.0,713.0,2017
Some college or associate's degree,Thurston County,42610.0,56819.0,2303.0,2017
Some college or associate's degree,Whatcom County--Bellingham City,30963.0,40055.0,1482.0,2017
Some college or associate's degree,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",12186.0,15805.0,205.0,2017
Some college or associate's degree,Yakima County,23450.0,34219.0,1682.0,2017
