Attainment,Regions,Employ,Total in labor force,Unemploy,Year
Less than high school graduate,Spokane County,6667.0,13564.0,1006.0,2016
Less than high school graduate,"Stevens, Okanogan, Pend Oreille & Ferry Counties",3852.0,7991.0,495.0,2016
Less than high school graduate,Thurston County,3609.0,8557.0,1808.0,2016
Less than high school graduate,Whatcom County--Bellingham City,5999.0,9447.0,557.0,2016
Less than high school graduate,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4051.0,6010.0,198.0,2016
Less than high school graduate,Yakima County,19752.0,30230.0,3129.0,2016
Some college or associate's degree,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",46021.0,64162.0,2537.0,2016
Some college or associate's degree,Chelan & Douglas Counties,13616.0,17412.0,505.0,2016
Some college or associate's degree,Clallam & Jefferson Counties,12240.0,18160.0,1525.0,2016
Some college or associate's degree,Clark County,71644.0,96332.0,4011.0,2016
Some college or associate's degree,"Cowlitz, Pacific & Wahkiakum Counties",18010.0,27496.0,1540.0,2016
Some college or associate's degree,Grant & Kittitas Counties,12661.0,20290.0,2536.0,2016
Some college or associate's degree,Grays Harbor & Mason Counties,15844.0,24991.0,1424.0,2016
Some college or associate's degree,King County,175837.0,226943.0,7033.0,2016
Some college or associate's degree,Kitsap County,37521.0,55611.0,1839.0,2016
Some college or associate's degree,Label,,,,2016
Some college or associate's degree,"Lewis, Klickitat & Skamania Counties",14309.0,21812.0,938.0,2016
Some college or associate's degree,Pierce County,121133.0,175910.0,9461.0,2016
Some college or associate's degree,"Skagit, Island & San Juan Counties",30797.0,45557.0,1184.0,2016
Some college or associate's degree,Snohomish County,124827.0,163511.0,7058.0,2016
Some college or associate's degree,Spokane County,78894.0,108950.0,4666.0,2016
Some college or associate's degree,"Stevens, Okanogan, Pend Oreille & Ferry Counties",11728.0,18240.0,511.0,2016
Some college or associate's degree,Thurston County,38385.0,59133.0,3680.0,2016
Some college or associate's degree,Whatcom County--Bellingham City,26358.0,37176.0,2119.0,2016
Some college or associate's degree,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",10778.0,15353.0,338.0,2016
Some college or associate's degree,Yakima County,26292.0,34689.0,1189.0,2016
