Region,Year,Educational Attainment,Median Income
"Cowlitz, Pacific & Wahkiakum Counties",2015,        Some college or associate's degree,37229.0
"Cowlitz, Pacific & Wahkiakum Counties",2015,        Bachelor's degree,51533.0
"Cowlitz, Pacific & Wahkiakum Counties",2015,        Graduate or professional degree,52704.0
Grays Harbor & Mason Counties,2015,        Less than high school graduate,18931.0
Grays Harbor & Mason Counties,2015,        High school graduate (includes equivalency),25315.0
Grays Harbor & Mason Counties,2015,        Some college or associate's degree,31803.0
Grays Harbor & Mason Counties,2015,        Bachelor's degree,51182.0
Grays Harbor & Mason Counties,2015,        Graduate or professional degree,70273.0
Clallam & Jefferson Counties,2015,        Less than high school graduate,23194.0
Clallam & Jefferson Counties,2015,        High school graduate (includes equivalency),30450.0
Clallam & Jefferson Counties,2015,        Some college or associate's degree,30429.0
Clallam & Jefferson Counties,2015,        Bachelor's degree,26133.0
Clallam & Jefferson Counties,2015,        Graduate or professional degree,52140.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,        Less than high school graduate,61454.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,        High school graduate (includes equivalency),91935.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,        Some college or associate's degree,113804.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,        Bachelor's degree,155079.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,        Graduate or professional degree,197071.0
Clark County,2015,        Less than high school graduate,113105.0
Clark County,2015,        High school graduate (includes equivalency),136377.0
Clark County,2015,        Some college or associate's degree,148422.0
Clark County,2015,        Bachelor's degree,222799.0
Clark County,2015,        Graduate or professional degree,253704.0
King County,2015,        Less than high school graduate,301364.0
King County,2015,        High school graduate (includes equivalency),356446.0
King County,2015,        Some college or associate's degree,468146.0
King County,2015,        Bachelor's degree,733113.0
King County,2015,        Graduate or professional degree,865035.0
Kitsap County,2015,        Less than high school graduate,45990.0
Kitsap County,2015,        High school graduate (includes equivalency),58576.0
Kitsap County,2015,        Some college or associate's degree,76405.0
Kitsap County,2015,        Bachelor's degree,107694.0
Kitsap County,2015,        Graduate or professional degree,120150.0
Pierce County,2015,        Less than high school graduate,213952.0
Pierce County,2015,        High school graduate (includes equivalency),236877.0
Pierce County,2015,        Some college or associate's degree,275014.0
Pierce County,2015,        Bachelor's degree,350361.0
Pierce County,2015,        Graduate or professional degree,471977.0
Spokane County,2015,        Less than high school graduate,78809.0
Spokane County,2015,        High school graduate (includes equivalency),104103.0
Spokane County,2015,        Some college or associate's degree,120367.0
Spokane County,2015,        Bachelor's degree,172496.0
Spokane County,2015,        Graduate or professional degree,225103.0
Snohomish County,2015,        Less than high school graduate,151901.0
Snohomish County,2015,        High school graduate (includes equivalency),225135.0
Snohomish County,2015,        Some college or associate's degree,264039.0
Snohomish County,2015,        Bachelor's degree,361569.0
Snohomish County,2015,        Graduate or professional degree,457291.0
Thurston County,2015,        Less than high school graduate,55524.0
Thurston County,2015,        High school graduate (includes equivalency),64664.0
Thurston County,2015,        Some college or associate's degree,76193.0
Thurston County,2015,        Bachelor's degree,111131.0
Thurston County,2015,        Graduate or professional degree,131816.0
Yakima County,2015,        Less than high school graduate,43173.0
Yakima County,2015,        High school graduate (includes equivalency),56643.0
Yakima County,2015,        Some college or associate's degree,66246.0
Yakima County,2015,        Bachelor's degree,85647.0
Yakima County,2015,        Graduate or professional degree,124265.0
Washington,2017,        Less than high school graduate,25668.0
Washington,2017,        High school graduate (includes equivalency),34196.0
Washington,2017,        Some college or associate's degree,39947.0
Washington,2017,        Bachelor's degree,59662.0
Washington,2017,        Graduate or professional degree,76407.0
Whatcom County--Bellingham City,2017,        Less than high school graduate,30591.0
Whatcom County--Bellingham City,2017,        High school graduate (includes equivalency),31988.0
Whatcom County--Bellingham City,2017,        Some college or associate's degree,39332.0
Whatcom County--Bellingham City,2017,        Bachelor's degree,41786.0
Whatcom County--Bellingham City,2017,        Graduate or professional degree,68983.0
"Skajit, Island & San Juan Counties",2017,        Less than high school graduate,31385.0
"Skajit, Island & San Juan Counties",2017,        High school graduate (includes equivalency),35817.0
"Skajit, Island & San Juan Counties",2017,        Some college or associate's degree,34145.0
"Skajit, Island & San Juan Counties",2017,        Bachelor's degree,47257.0
"Skajit, Island & San Juan Counties",2017,        Graduate or professional degree,65100.0
Chelan & Douglas Counties,2017,        Less than high school graduate,25872.0
Chelan & Douglas Counties,2017,        High school graduate (includes equivalency),27807.0
Chelan & Douglas Counties,2017,        Some college or associate's degree,33322.0
Chelan & Douglas Counties,2017,        Bachelor's degree,45795.0
Chelan & Douglas Counties,2017,        Graduate or professional degree,65140.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2017,        Less than high school graduate,19366.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2017,        High school graduate (includes equivalency),32315.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2017,        Some college or associate's degree,27951.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2017,        Bachelor's degree,39012.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2017,        Graduate or professional degree,58487.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2017,        Less than high school graduate,20167.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2017,        High school graduate (includes equivalency),29331.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2017,        Some college or associate's degree,33171.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2017,        Bachelor's degree,43008.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2017,        Graduate or professional degree,50965.0
Grant & Kittitas Counties,2017,        Less than high school graduate,26419.0
Grant & Kittitas Counties,2017,        High school graduate (includes equivalency),33552.0
Grant & Kittitas Counties,2017,        Some college or associate's degree,36443.0
Grant & Kittitas Counties,2017,        Bachelor's degree,40951.0
Grant & Kittitas Counties,2017,        Graduate or professional degree,62272.0
"Lewis, Klickitat & Skamania Counties",2017,        Less than high school graduate,24874.0
"Lewis, Klickitat & Skamania Counties",2017,        High school graduate (includes equivalency),31733.0
"Lewis, Klickitat & Skamania Counties",2017,        Some college or associate's degree,31883.0
"Lewis, Klickitat & Skamania Counties",2017,        Bachelor's degree,36682.0
"Lewis, Klickitat & Skamania Counties",2017,        Graduate or professional degree,64205.0
"Cowlitz, Pacific & Wahkiakum Counties",2017,        Less than high school graduate,29016.0
"Cowlitz, Pacific & Wahkiakum Counties",2017,        High school graduate (includes equivalency),31558.0
"Cowlitz, Pacific & Wahkiakum Counties",2017,        Some college or associate's degree,29202.0
"Cowlitz, Pacific & Wahkiakum Counties",2017,        Bachelor's degree,42159.0
"Cowlitz, Pacific & Wahkiakum Counties",2017,        Graduate or professional degree,63229.0
Grays Harbor & Mason Counties,2017,        Less than high school graduate,21217.0
Grays Harbor & Mason Counties,2017,        High school graduate (includes equivalency),36149.0
Grays Harbor & Mason Counties,2017,        Some college or associate's degree,32998.0
Grays Harbor & Mason Counties,2017,        Bachelor's degree,37107.0
Grays Harbor & Mason Counties,2017,        Graduate or professional degree,61940.0
Clallam & Jefferson Counties,2017,        Less than high school graduate,17476.0
Clallam & Jefferson Counties,2017,        High school graduate (includes equivalency),30287.0
Clallam & Jefferson Counties,2017,        Some college or associate's degree,36212.0
Clallam & Jefferson Counties,2017,        Bachelor's degree,38057.0
Clallam & Jefferson Counties,2017,        Graduate or professional degree,50371.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,        Less than high school graduate,69540.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,        High school graduate (includes equivalency),98926.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,        Some college or associate's degree,114107.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,        Bachelor's degree,174467.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,        Graduate or professional degree,215585.0
Clark County,2017,        Less than high school graduate,123109.0
Clark County,2017,        High school graduate (includes equivalency),139803.0
Clark County,2017,        Some college or associate's degree,172470.0
Clark County,2017,        Bachelor's degree,249698.0
Clark County,2017,        Graduate or professional degree,279768.0
King County,2017,        Less than high school graduate,268773.0
King County,2017,        High school graduate (includes equivalency),402124.0
King County,2017,        Some college or associate's degree,494074.0
King County,2017,        Bachelor's degree,767153.0
King County,2017,        Graduate or professional degree,952895.0
Kitsap County,2017,        Less than high school graduate,71764.0
Kitsap County,2017,        High school graduate (includes equivalency),63983.0
Kitsap County,2017,        Some college or associate's degree,83458.0
Kitsap County,2017,        Bachelor's degree,110423.0
Kitsap County,2017,        Graduate or professional degree,151084.0
Pierce County,2017,        Less than high school graduate,214885.0
Pierce County,2017,        High school graduate (includes equivalency),254665.0
Pierce County,2017,        Some college or associate's degree,297669.0
Pierce County,2017,        Bachelor's degree,387193.0
Pierce County,2017,        Graduate or professional degree,475803.0
Spokane County,2017,        Less than high school graduate,86055.0
Spokane County,2017,        High school graduate (includes equivalency),127504.0
Spokane County,2017,        Some college or associate's degree,133425.0
Spokane County,2017,        Bachelor's degree,187458.0
Spokane County,2017,        Graduate or professional degree,268962.0
Snohomish County,2017,        Less than high school graduate,198606.0
Snohomish County,2017,        High school graduate (includes equivalency),238518.0
Snohomish County,2017,        Some college or associate's degree,265162.0
Snohomish County,2017,        Bachelor's degree,386569.0
Snohomish County,2017,        Graduate or professional degree,448789.0
Thurston County,2017,        Less than high school graduate,36869.0
Thurston County,2017,        High school graduate (includes equivalency),71287.0
Thurston County,2017,        Some college or associate's degree,79806.0
Thurston County,2017,        Bachelor's degree,103981.0
Thurston County,2017,        Graduate or professional degree,132653.0
Yakima County,2017,        Less than high school graduate,49005.0
Yakima County,2017,        High school graduate (includes equivalency),57191.0
Yakima County,2017,        Some college or associate's degree,67660.0
Yakima County,2017,        Bachelor's degree,93497.0
Yakima County,2017,        Graduate or professional degree,114139.0
Washington,2016,        Less than high school graduate,25151.0
Washington,2016,        High school graduate (includes equivalency),32077.0
Washington,2016,        Some college or associate's degree,37295.0
Washington,2016,        Bachelor's degree,58262.0
Washington,2016,        Graduate or professional degree,72335.0
Whatcom County--Bellingham City,2016,        Less than high school graduate,30993.0
Whatcom County--Bellingham City,2016,        High school graduate (includes equivalency),35391.0
Whatcom County--Bellingham City,2016,        Some college or associate's degree,32483.0
Whatcom County--Bellingham City,2016,        Bachelor's degree,40925.0
Whatcom County--Bellingham City,2016,        Graduate or professional degree,65254.0
"Skajit, Island & San Juan Counties",2016,        Less than high school graduate,23234.0
"Skajit, Island & San Juan Counties",2016,        High school graduate (includes equivalency),32342.0
"Skajit, Island & San Juan Counties",2016,        Some college or associate's degree,36466.0
"Skajit, Island & San Juan Counties",2016,        Bachelor's degree,46030.0
"Skajit, Island & San Juan Counties",2016,        Graduate or professional degree,60197.0
Chelan & Douglas Counties,2016,        Less than high school graduate,20887.0
Chelan & Douglas Counties,2016,        High school graduate (includes equivalency),27306.0
Chelan & Douglas Counties,2016,        Some college or associate's degree,37142.0
Chelan & Douglas Counties,2016,        Bachelor's degree,40218.0
Chelan & Douglas Counties,2016,        Graduate or professional degree,62721.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2016,        Less than high school graduate,23607.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2016,        High school graduate (includes equivalency),26692.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2016,        Some college or associate's degree,35375.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2016,        Bachelor's degree,47450.0
