Attainment,Regions,Employ,Total in labor force,Unemploy,Year
Less than high school graduate,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",15918.0,25433.0,1868.0,2015
Less than high school graduate,Chelan & Douglas Counties,7300.0,10610.0,446.0,2015
Less than high school graduate,Clallam & Jefferson Counties,1999.0,4271.0,1042.0,2015
Less than high school graduate,Clark County,12414.0,21626.0,1933.0,2015
Less than high school graduate,"Cowlitz, Pacific & Wahkiakum Counties",3954.0,7634.0,725.0,2015
Less than high school graduate,Grant & Kittitas Counties,9143.0,13586.0,1467.0,2015
Less than high school graduate,Grays Harbor & Mason Counties,3885.0,7129.0,570.0,2015
Less than high school graduate,King County,38656.0,62570.0,4530.0,2015
Less than high school graduate,Kitsap County,2796.0,6457.0,713.0,2015
Less than high school graduate,Label,,,,2015
Less than high school graduate,"Lewis, Klickitat & Skamania Counties",3350.0,6455.0,568.0,2015
Less than high school graduate,Pierce County,18518.0,34834.0,4453.0,2015
Less than high school graduate,"Skagit, Island & San Juan Counties",4720.0,8238.0,1087.0,2015
Less than high school graduate,Snohomish County,20058.0,33938.0,3452.0,2015
Less than high school graduate,Spokane County,7897.0,15610.0,1478.0,2015
Less than high school graduate,"Stevens, Okanogan, Pend Oreille & Ferry Counties",3790.0,6467.0,394.0,2015
Less than high school graduate,Thurston County,6410.0,11744.0,1148.0,2015
Less than high school graduate,Whatcom County--Bellingham City,4182.0,7261.0,690.0,2015
Less than high school graduate,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2739.0,5217.0,595.0,2015
Less than high school graduate,Yakima County,21957.0,33277.0,2038.0,2015
Some college or associate's degree,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",42672.0,57870.0,1788.0,2015
Some college or associate's degree,Chelan & Douglas Counties,13276.0,17820.0,588.0,2015
Some college or associate's degree,Clallam & Jefferson Counties,11485.0,18859.0,1282.0,2015
Some college or associate's degree,Clark County,70405.0,95601.0,5100.0,2015
Some college or associate's degree,"Cowlitz, Pacific & Wahkiakum Counties",17831.0,26653.0,1546.0,2015
Some college or associate's degree,Grant & Kittitas Counties,14245.0,20555.0,822.0,2015
Some college or associate's degree,Grays Harbor & Mason Counties,17871.0,27622.0,1602.0,2015
Some college or associate's degree,King County,179432.0,232557.0,11922.0,2015
Some college or associate's degree,Kitsap County,35126.0,56963.0,3221.0,2015
Some college or associate's degree,Label,,,,2015
Some college or associate's degree,"Lewis, Klickitat & Skamania Counties",14686.0,22387.0,1142.0,2015
Some college or associate's degree,Pierce County,121328.0,174495.0,9265.0,2015
Some college or associate's degree,"Skagit, Island & San Juan Counties",32167.0,45115.0,1534.0,2015
Some college or associate's degree,Snohomish County,114350.0,155272.0,6556.0,2015
Some college or associate's degree,Spokane County,68185.0,103524.0,9069.0,2015
Some college or associate's degree,"Stevens, Okanogan, Pend Oreille & Ferry Counties",12331.0,20348.0,895.0,2015
Some college or associate's degree,Thurston County,37453.0,55160.0,2945.0,2015
Some college or associate's degree,Whatcom County--Bellingham City,26968.0,39485.0,2803.0,2015
Some college or associate's degree,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",10213.0,15220.0,989.0,2015
Some college or associate's degree,Yakima County,23193.0,31619.0,1839.0,2015
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",38506.0,44541.0,516.0,2017
Bachelor's degree or higher,Chelan & Douglas Counties,12040.0,14000.0,350.0,2017
Bachelor's degree or higher,Clallam & Jefferson Counties,9276.0,14184.0,383.0,2017
Bachelor's degree or higher,Clark County,67602.0,80131.0,2038.0,2017
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",9253.0,10989.0,692.0,2017
Bachelor's degree or higher,Grant & Kittitas Counties,11964.0,14175.0,213.0,2017
Bachelor's degree or higher,Grays Harbor & Mason Counties,7945.0,9833.0,206.0,2017
Bachelor's degree or higher,King County,320608.0,391148.0,11377.0,2017
Bachelor's degree or higher,Kitsap County,35500.0,46306.0,1134.0,2017
Bachelor's degree or higher,Label,,,,2017
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",8963.0,11856.0,534.0,2017
Bachelor's degree or higher,Pierce County,95833.0,119990.0,3445.0,2017
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",24057.0,31613.0,948.0,2017
Bachelor's degree or higher,Snohomish County,123880.0,148037.0,3359.0,2017
Bachelor's degree or higher,Spokane County,69690.0,83524.0,1526.0,2017
Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",6984.0,9299.0,158.0,2017
Bachelor's degree or higher,Thurston County,40860.0,52689.0,3076.0,2017
Bachelor's degree or higher,Whatcom County--Bellingham City,32218.0,38864.0,700.0,2017
Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",11738.0,15087.0,241.0,2017
Bachelor's degree or higher,Yakima County,15969.0,20252.0,404.0,2017
High school graduate (includes equivalency),"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",30026.0,43153.0,1625.0,2017
High school graduate (includes equivalency),Chelan & Douglas Counties,12057.0,16141.0,484.0,2017
High school graduate (includes equivalency),Clallam & Jefferson Counties,7278.0,13478.0,2534.0,2017
High school graduate (includes equivalency),Clark County,41573.0,57089.0,3301.0,2017
High school graduate (includes equivalency),"Cowlitz, Pacific & Wahkiakum Counties",11853.0,19855.0,1330.0,2017
High school graduate (includes equivalency),Grant & Kittitas Counties,11605.0,16096.0,435.0,2017
High school graduate (includes equivalency),Grays Harbor & Mason Counties,13034.0,23699.0,1303.0,2017
High school graduate (includes equivalency),King County,103841.0,142319.0,7506.0,2017
High school graduate (includes equivalency),Kitsap County,18874.0,28504.0,1044.0,2017
High school graduate (includes equivalency),Label,,,,2017
High school graduate (includes equivalency),"Lewis, Klickitat & Skamania Counties",9523.0,15792.0,1958.0,2017
High school graduate (includes equivalency),Pierce County,89397.0,133841.0,8952.0,2017
High school graduate (includes equivalency),"Skagit, Island & San Juan Counties",18872.0,27510.0,1541.0,2017
High school graduate (includes equivalency),Snohomish County,74615.0,102925.0,4397.0,2017
High school graduate (includes equivalency),Spokane County,38709.0,58191.0,3014.0,2017
High school graduate (includes equivalency),"Stevens, Okanogan, Pend Oreille & Ferry Counties",11411.0,17290.0,847.0,2017
High school graduate (includes equivalency),Thurston County,21054.0,32085.0,3753.0,2017
High school graduate (includes equivalency),Whatcom County--Bellingham City,16969.0,24001.0,744.0,2017
High school graduate (includes equivalency),"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",6634.0,9902.0,337.0,2017
High school graduate (includes equivalency),Yakima County,21555.0,31364.0,1975.0,2017
Less than high school graduate,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",15135.0,25020.0,1530.0,2017
Less than high school graduate,Chelan & Douglas Counties,6966.0,10850.0,629.0,2017
Less than high school graduate,Clallam & Jefferson Counties,1728.0,3571.0,343.0,2017
Less than high school graduate,Clark County,11311.0,18159.0,1387.0,2017
Less than high school graduate,"Cowlitz, Pacific & Wahkiakum Counties",2458.0,6735.0,1057.0,2017
Less than high school graduate,Grant & Kittitas Counties,7910.0,12003.0,480.0,2017
Less than high school graduate,Grays Harbor & Mason Counties,4410.0,9019.0,1786.0,2017
Less than high school graduate,King County,42262.0,65095.0,3813.0,2017
Less than high school graduate,Kitsap County,3545.0,8300.0,726.0,2017
Less than high school graduate,Label,,,,2017
Less than high school graduate,"Lewis, Klickitat & Skamania Counties",3247.0,6329.0,848.0,2017
Less than high school graduate,Pierce County,21520.0,38661.0,2533.0,2017
Less than high school graduate,"Skagit, Island & San Juan Counties",6410.0,8853.0,71.0,2017
Less than high school graduate,Snohomish County,19092.0,30716.0,1619.0,2017
Less than high school graduate,Spokane County,6318.0,15255.0,1847.0,2017
Less than high school graduate,"Stevens, Okanogan, Pend Oreille & Ferry Counties",3625.0,6603.0,753.0,2017
Less than high school graduate,Thurston County,3328.0,6726.0,976.0,2017
Less than high school graduate,Whatcom County--Bellingham City,4014.0,6581.0,395.0,2017
Less than high school graduate,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",3139.0,5771.0,1039.0,2017
Less than high school graduate,Yakima County,20614.0,32300.0,2549.0,2017
Some college or associate's degree,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",44043.0,62362.0,3002.0,2017
Some college or associate's degree,Chelan & Douglas Counties,12773.0,16940.0,644.0,2017
Some college or associate's degree,Clallam & Jefferson Counties,11120.0,19272.0,1041.0,2017
Some college or associate's degree,Clark County,69980.0,95608.0,4311.0,2017
Some college or associate's degree,"Cowlitz, Pacific & Wahkiakum Counties",17854.0,28294.0,2122.0,2017
Some college or associate's degree,Grant & Kittitas Counties,16382.0,22349.0,536.0,2017
Some college or associate's degree,Grays Harbor & Mason Counties,16599.0,27712.0,1192.0,2017
Some college or associate's degree,King County,181429.0,232600.0,10340.0,2017
Some college or associate's degree,Kitsap County,37629.0,55349.0,1243.0,2017
Some college or associate's degree,Label,,,,2017
Some college or associate's degree,"Lewis, Klickitat & Skamania Counties",15724.0,23192.0,812.0,2017
Some college or associate's degree,Pierce County,131454.0,179578.0,4774.0,2017
Some college or associate's degree,"Skagit, Island & San Juan Counties",29412.0,43126.0,1725.0,2017
Some college or associate's degree,Snohomish County,130552.0,169343.0,5586.0,2017
Some college or associate's degree,Spokane County,78498.0,107865.0,4400.0,2017
Some college or associate's degree,"Stevens, Okanogan, Pend Oreille & Ferry Counties",12791.0,19801.0,713.0,2017
Some college or associate's degree,Thurston County,42610.0,56819.0,2303.0,2017
Some college or associate's degree,Whatcom County--Bellingham City,30963.0,40055.0,1482.0,2017
Some college or associate's degree,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",12186.0,15805.0,205.0,2017
Some college or associate's degree,Yakima County,23450.0,34219.0,1682.0,2017
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",38087.0,44699.0,1407.0,2016
Bachelor's degree or higher,Chelan & Douglas Counties,12055.0,13985.0,238.0,2016
Bachelor's degree or higher,Clallam & Jefferson Counties,8989.0,13456.0,525.0,2016
Bachelor's degree or higher,Clark County,60264.0,74266.0,2698.0,2016
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",7309.0,10082.0,373.0,2016
Bachelor's degree or higher,Grant & Kittitas Counties,12943.0,15650.0,141.0,2016
Bachelor's degree or higher,Grays Harbor & Mason Counties,9054.0,11608.0,476.0,2016
Bachelor's degree or higher,King County,316131.0,384652.0,11305.0,2016
Bachelor's degree or higher,Kitsap County,32864.0,43672.0,1258.0,2016
Bachelor's degree or higher,Label,,,,2016
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",9185.0,11080.0,155.0,2016
Bachelor's degree or higher,Pierce County,98668.0,122163.0,3236.0,2016
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",20676.0,26922.0,431.0,2016
Bachelor's degree or higher,Snohomish County,119403.0,142025.0,2245.0,2016
Bachelor's degree or higher,Spokane County,62268.0,78619.0,2361.0,2016
Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",6092.0,8666.0,156.0,2016
Bachelor's degree or higher,Thurston County,40961.0,51793.0,1236.0,2016
Bachelor's degree or higher,Whatcom County--Bellingham City,28337.0,33815.0,1082.0,2016
Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",14169.0,16456.0,263.0,2016
Bachelor's degree or higher,Yakima County,15688.0,18621.0,189.0,2016
High school graduate (includes equivalency),"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",24813.0,38416.0,2381.0,2016
High school graduate (includes equivalency),Chelan & Douglas Counties,10870.0,14650.0,557.0,2016
High school graduate (includes equivalency),Clallam & Jefferson Counties,8224.0,14179.0,1205.0,2016
High school graduate (includes equivalency),Clark County,39428.0,56762.0,3124.0,2016
High school graduate (includes equivalency),"Cowlitz, Pacific & Wahkiakum Counties",11551.0,20088.0,2330.0,2016
High school graduate (includes equivalency),Grant & Kittitas Counties,11020.0,15721.0,1415.0,2016
High school graduate (includes equivalency),Grays Harbor & Mason Counties,13463.0,23828.0,1525.0,2016
High school graduate (includes equivalency),King County,103876.0,139627.0,5987.0,2016
High school graduate (includes equivalency),Kitsap County,17951.0,31116.0,1618.0,2016
High school graduate (includes equivalency),Label,,,,2016
High school graduate (includes equivalency),"Lewis, Klickitat & Skamania Counties",8421.0,15011.0,600.0,2016
High school graduate (includes equivalency),Pierce County,79281.0,122121.0,8174.0,2016
High school graduate (includes equivalency),"Skagit, Island & San Juan Counties",18321.0,28627.0,3034.0,2016
High school graduate (includes equivalency),Snohomish County,72853.0,103393.0,4828.0,2016
High school graduate (includes equivalency),Spokane County,39429.0,60524.0,3418.0,2016
High school graduate (includes equivalency),"Stevens, Okanogan, Pend Oreille & Ferry Counties",9504.0,17503.0,2188.0,2016
High school graduate (includes equivalency),Thurston County,19232.0,29720.0,2282.0,2016
High school graduate (includes equivalency),Whatcom County--Bellingham City,18644.0,26408.0,3407.0,2016
High school graduate (includes equivalency),"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",7343.0,10581.0,339.0,2016
High school graduate (includes equivalency),Yakima County,23337.0,33701.0,2070.0,2016
Less than high school graduate,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",13934.0,23674.0,1847.0,2016
Less than high school graduate,Chelan & Douglas Counties,7317.0,11505.0,483.0,2016
Less than high school graduate,Clallam & Jefferson Counties,2364.0,4618.0,1053.0,2016
Less than high school graduate,Clark County,11213.0,18191.0,1371.0,2016
Less than high school graduate,"Cowlitz, Pacific & Wahkiakum Counties",2565.0,6646.0,964.0,2016
Less than high school graduate,Grant & Kittitas Counties,8213.0,12713.0,737.0,2016
Less than high school graduate,Grays Harbor & Mason Counties,3261.0,8235.0,1153.0,2016
Less than high school graduate,King County,43541.0,69690.0,5301.0,2016
Less than high school graduate,Kitsap County,4824.0,8582.0,874.0,2016
Less than high school graduate,Label,,,,2016
Less than high school graduate,"Lewis, Klickitat & Skamania Counties",2990.0,6216.0,56.0,2016
Less than high school graduate,Pierce County,22863.0,41098.0,2895.0,2016
Less than high school graduate,"Skagit, Island & San Juan Counties",6337.0,9573.0,1139.0,2016
Less than high school graduate,Snohomish County,18946.0,33270.0,3237.0,2016
Less than high school graduate,Spokane County,6667.0,13564.0,1006.0,2016
Less than high school graduate,"Stevens, Okanogan, Pend Oreille & Ferry Counties",3852.0,7991.0,495.0,2016
Less than high school graduate,Thurston County,3609.0,8557.0,1808.0,2016
Less than high school graduate,Whatcom County--Bellingham City,5999.0,9447.0,557.0,2016
Less than high school graduate,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4051.0,6010.0,198.0,2016
Less than high school graduate,Yakima County,19752.0,30230.0,3129.0,2016
Some college or associate's degree,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",46021.0,64162.0,2537.0,2016
Some college or associate's degree,Chelan & Douglas Counties,13616.0,17412.0,505.0,2016
Some college or associate's degree,Clallam & Jefferson Counties,12240.0,18160.0,1525.0,2016
Some college or associate's degree,Clark County,71644.0,96332.0,4011.0,2016
Some college or associate's degree,"Cowlitz, Pacific & Wahkiakum Counties",18010.0,27496.0,1540.0,2016
Some college or associate's degree,Grant & Kittitas Counties,12661.0,20290.0,2536.0,2016
Some college or associate's degree,Grays Harbor & Mason Counties,15844.0,24991.0,1424.0,2016
Some college or associate's degree,King County,175837.0,226943.0,7033.0,2016
Some college or associate's degree,Kitsap County,37521.0,55611.0,1839.0,2016
Some college or associate's degree,Label,,,,2016
Some college or associate's degree,"Lewis, Klickitat & Skamania Counties",14309.0,21812.0,938.0,2016
Some college or associate's degree,Pierce County,121133.0,175910.0,9461.0,2016
Some college or associate's degree,"Skagit, Island & San Juan Counties",30797.0,45557.0,1184.0,2016
Some college or associate's degree,Snohomish County,124827.0,163511.0,7058.0,2016
Some college or associate's degree,Spokane County,78894.0,108950.0,4666.0,2016
Some college or associate's degree,"Stevens, Okanogan, Pend Oreille & Ferry Counties",11728.0,18240.0,511.0,2016
Some college or associate's degree,Thurston County,38385.0,59133.0,3680.0,2016
Some college or associate's degree,Whatcom County--Bellingham City,26358.0,37176.0,2119.0,2016
Some college or associate's degree,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",10778.0,15353.0,338.0,2016
Some college or associate's degree,Yakima County,26292.0,34689.0,1189.0,2016
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",33250.0,42189.0,1683.0,2013
Bachelor's degree or higher,Chelan & Douglas Counties,9337.0,11196.0,146.0,2013
Bachelor's degree or higher,Clallam & Jefferson Counties,8043.0,11742.0,517.0,2013
Bachelor's degree or higher,Clark County,51011.0,63592.0,2079.0,2013
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",7527.0,10185.0,611.0,2013
Bachelor's degree or higher,Grant & Kittitas Counties,10719.0,13586.0,639.0,2013
Bachelor's degree or higher,Grays Harbor & Mason Counties,7307.0,9928.0,506.0,2013
Bachelor's degree or higher,King County,276682.0,342131.0,11747.0,2013
Bachelor's degree or higher,Kitsap County,31182.0,41036.0,1181.0,2013
Bachelor's degree or higher,Label,,,,2013
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",6615.0,8569.0,411.0,2013
Bachelor's degree or higher,Pierce County,87439.0,109936.0,5622.0,2013
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",20145.0,28334.0,1105.0,2013
Bachelor's degree or higher,Snohomish County,106819.0,127977.0,5794.0,2013
Bachelor's degree or higher,Spokane County,54241.0,67656.0,1702.0,2013
