Attainment,Regions,Employ,Total in labor force,Unemploy,Year
    With any disability,Grant & Kittitas Counties,2846.0,9121.0,739.0,2015
    With any disability,Grays Harbor & Mason Counties,4443.0,12840.0,1733.0,2015
    With any disability,King County,25730.0,62430.0,8417.0,2015
    With any disability,Kitsap County,8440.0,20057.0,2357.0,2015
    With any disability,Label,,,,2015
    With any disability,"Lewis, Klickitat & Skamania Counties",2093.0,9689.0,1560.0,2015
    With any disability,Pierce County,23166.0,63606.0,9859.0,2015
    With any disability,"Skagit, Island & San Juan Counties",6135.0,16061.0,1590.0,2015
    With any disability,Snohomish County,21585.0,51859.0,4895.0,2015
    With any disability,Spokane County,12648.0,39033.0,5698.0,2015
    With any disability,"Stevens, Okanogan, Pend Oreille & Ferry Counties",2035.0,9379.0,413.0,2015
    With any disability,Thurston County,6716.0,18628.0,2336.0,2015
    With any disability,Whatcom County--Bellingham City,6456.0,15670.0,580.0,2015
    With any disability,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2493.0,8452.0,1919.0,2015
    With any disability,Yakima County,4389.0,14561.0,2436.0,2015
        Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",37241.0,44278.0,787.0,2015
        Bachelor's degree or higher,Chelan & Douglas Counties,9979.0,12305.0,37.0,2015
        Bachelor's degree or higher,Clallam & Jefferson Counties,8709.0,12495.0,400.0,2015
        Bachelor's degree or higher,Clark County,53737.0,66152.0,1280.0,2015
        Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",9091.0,11046.0,320.0,2015
        Bachelor's degree or higher,Grant & Kittitas Counties,10992.0,13827.0,664.0,2015
        Bachelor's degree or higher,Grays Harbor & Mason Counties,7061.0,9504.0,257.0,2015
        Bachelor's degree or higher,King County,298264.0,363807.0,11836.0,2015
        Bachelor's degree or higher,Kitsap County,31309.0,40875.0,1132.0,2015
        Bachelor's degree or higher,Label,,,,2015
        Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",8189.0,10635.0,425.0,2015
        Bachelor's degree or higher,Pierce County,87798.0,113966.0,4252.0,2015
        Bachelor's degree or higher,"Skagit, Island & San Juan Counties",22132.0,28706.0,689.0,2015
        Bachelor's degree or higher,Snohomish County,117846.0,141610.0,4186.0,2015
        Bachelor's degree or higher,Spokane County,57329.0,73786.0,2359.0,2015
        Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",7104.0,9166.0,37.0,2015
        Bachelor's degree or higher,Thurston County,37387.0,46482.0,1208.0,2015
        Bachelor's degree or higher,Whatcom County--Bellingham City,26804.0,33297.0,1032.0,2015
        Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",12876.0,15551.0,467.0,2015
        Bachelor's degree or higher,Yakima County,14161.0,17391.0,438.0,2015
        High school graduate (includes equivalency),"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",25269.0,40368.0,2258.0,2015
        High school graduate (includes equivalency),Chelan & Douglas Counties,12503.0,16919.0,947.0,2015
        High school graduate (includes equivalency),Clallam & Jefferson Counties,9671.0,14222.0,683.0,2015
        High school graduate (includes equivalency),Clark County,39570.0,58634.0,3367.0,2015
        High school graduate (includes equivalency),"Cowlitz, Pacific & Wahkiakum Counties",11823.0,19972.0,1158.0,2015
        High school graduate (includes equivalency),Grant & Kittitas Counties,11164.0,15571.0,327.0,2015
        High school graduate (includes equivalency),Grays Harbor & Mason Counties,12519.0,22557.0,2504.0,2015
        High school graduate (includes equivalency),King County,101844.0,146324.0,9471.0,2015
        High school graduate (includes equivalency),Kitsap County,19793.0,30976.0,2005.0,2015
        High school graduate (includes equivalency),Label,,,,2015
        High school graduate (includes equivalency),"Lewis, Klickitat & Skamania Counties",8262.0,14806.0,1569.0,2015
        High school graduate (includes equivalency),Pierce County,83895.0,127823.0,9348.0,2015
        High school graduate (includes equivalency),"Skagit, Island & San Juan Counties",17260.0,27138.0,1438.0,2015
        High school graduate (includes equivalency),Snohomish County,72507.0,101589.0,5014.0,2015
        High school graduate (includes equivalency),Spokane County,38864.0,63542.0,4311.0,2015
        High school graduate (includes equivalency),"Stevens, Okanogan, Pend Oreille & Ferry Counties",9355.0,16413.0,1001.0,2015
        High school graduate (includes equivalency),Thurston County,18514.0,30790.0,3411.0,2015
        High school graduate (includes equivalency),Whatcom County--Bellingham City,16516.0,25293.0,1846.0,2015
        High school graduate (includes equivalency),"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",6412.0,10999.0,1309.0,2015
        High school graduate (includes equivalency),Yakima County,23518.0,34978.0,1580.0,2015
        Less than high school graduate,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",15918.0,25433.0,1868.0,2015
        Less than high school graduate,Chelan & Douglas Counties,7300.0,10610.0,446.0,2015
        Less than high school graduate,Clallam & Jefferson Counties,1999.0,4271.0,1042.0,2015
        Less than high school graduate,Clark County,12414.0,21626.0,1933.0,2015
        Less than high school graduate,"Cowlitz, Pacific & Wahkiakum Counties",3954.0,7634.0,725.0,2015
        Less than high school graduate,Grant & Kittitas Counties,9143.0,13586.0,1467.0,2015
        Less than high school graduate,Grays Harbor & Mason Counties,3885.0,7129.0,570.0,2015
        Less than high school graduate,King County,38656.0,62570.0,4530.0,2015
        Less than high school graduate,Kitsap County,2796.0,6457.0,713.0,2015
        Less than high school graduate,Label,,,,2015
        Less than high school graduate,"Lewis, Klickitat & Skamania Counties",3350.0,6455.0,568.0,2015
        Less than high school graduate,Pierce County,18518.0,34834.0,4453.0,2015
        Less than high school graduate,"Skagit, Island & San Juan Counties",4720.0,8238.0,1087.0,2015
        Less than high school graduate,Snohomish County,20058.0,33938.0,3452.0,2015
        Less than high school graduate,Spokane County,7897.0,15610.0,1478.0,2015
        Less than high school graduate,"Stevens, Okanogan, Pend Oreille & Ferry Counties",3790.0,6467.0,394.0,2015
        Less than high school graduate,Thurston County,6410.0,11744.0,1148.0,2015
        Less than high school graduate,Whatcom County--Bellingham City,4182.0,7261.0,690.0,2015
        Less than high school graduate,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2739.0,5217.0,595.0,2015
        Less than high school graduate,Yakima County,21957.0,33277.0,2038.0,2015
        Some college or associate's degree,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",42672.0,57870.0,1788.0,2015
        Some college or associate's degree,Chelan & Douglas Counties,13276.0,17820.0,588.0,2015
        Some college or associate's degree,Clallam & Jefferson Counties,11485.0,18859.0,1282.0,2015
        Some college or associate's degree,Clark County,70405.0,95601.0,5100.0,2015
        Some college or associate's degree,"Cowlitz, Pacific & Wahkiakum Counties",17831.0,26653.0,1546.0,2015
        Some college or associate's degree,Grant & Kittitas Counties,14245.0,20555.0,822.0,2015
        Some college or associate's degree,Grays Harbor & Mason Counties,17871.0,27622.0,1602.0,2015
        Some college or associate's degree,King County,179432.0,232557.0,11922.0,2015
        Some college or associate's degree,Kitsap County,35126.0,56963.0,3221.0,2015
        Some college or associate's degree,Label,,,,2015
        Some college or associate's degree,"Lewis, Klickitat & Skamania Counties",14686.0,22387.0,1142.0,2015
        Some college or associate's degree,Pierce County,121328.0,174495.0,9265.0,2015
        Some college or associate's degree,"Skagit, Island & San Juan Counties",32167.0,45115.0,1534.0,2015
        Some college or associate's degree,Snohomish County,114350.0,155272.0,6556.0,2015
        Some college or associate's degree,Spokane County,68185.0,103524.0,9069.0,2015
        Some college or associate's degree,"Stevens, Okanogan, Pend Oreille & Ferry Counties",12331.0,20348.0,895.0,2015
        Some college or associate's degree,Thurston County,37453.0,55160.0,2945.0,2015
        Some college or associate's degree,Whatcom County--Bellingham City,26968.0,39485.0,2803.0,2015
        Some college or associate's degree,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",10213.0,15220.0,989.0,2015
        Some college or associate's degree,Yakima County,23193.0,31619.0,1839.0,2015
